ip_address,datetime,http_method,resource_path,sdate,edate,http_version,status_code,bytes_sent,user_agent
172.26.3.214,2023-11-06 05:30:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.200,2023-11-06 05:30:03,GET,/rbi,,,1.1,301,248,Python-urllib/3.7
172.26.3.200,2023-11-06 05:30:03,GET,/rbi/,,,1.1,200,9298,Python-urllib/3.7
172.26.3.200,2023-11-06 05:30:04,GET,/rbi/,,,1.1,200,9298,Python-urllib/3.7
172.26.3.214,2023-11-06 05:31:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.200,2023-11-06 05:31:39,GET,/anganwadi/,,,1.1,200,19966,Python-urllib/3.7
172.26.3.214,2023-11-06 05:32:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:33:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:34:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:35:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:36:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:37:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:38:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:39:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:40:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:41:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:42:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:43:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:44:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:45:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:46:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:47:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:48:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:49:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:50:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:51:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:52:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:53:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:54:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:55:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:56:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:57:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:58:02,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,93,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172.26.3.214,2023-11-06 05:59:01,GET,/scan_m/cas_userstats/getUserStats.php,2023-11-06,2023-11-06,1.1,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
